Shape_Area,PointID,One_m_Class_1_1st_choice,One_m_Class_1_2nd_choice,One_m_Class_2_1st_choice,One_m_Class_2_2nd_choice,One_m_Class_3_1st_choice,One_m_Class_3_2nd_choice,Five_m_Class1_1st_choice,Five_m_Class1_2nd_choice,Five_m_Class_2_1st_choice,Five_m_Class_2_2nd_choice,Five_m_Class_3_1st_choice,Five_m_Class_3_2nd_choice,Bin,Border_ind,Bright_vis,CoefVar_nDSM,Compactnes,Density,EllipticFi,GLCMCon_NIR,GLCMCon_nDSM,GLCMHom_nDSM,GLCMHomNIR,Imag_Brightness,Len_div_Width,MaxHtMinHt,Mean_Blue,Mean_Green,Mean_nDSM,Mean_NIR,Mean_Red,Mean_RE,Mean_slope,Mean_zDev,NDRE,NDVI,NDVIRE,NIR_div_RE,RectangFit,RelBord_bldg,RelBord_trees,RelBord_unclass,Roundness,SAVI,sd_blue,sd_green,sd_ndsm,sd_NIR,sd_RE,sd_red,sd_slope,sd_zdev
19.6355476541,80.0,Built-up,NA,Paved,NA,Non-linear_paved,NA,Built-up,NA,Paved,NA,Non-linear_paved,NA,12.0,1.520833333333333,5614.480486568677,5.803542647938067,1.839298327717926,1.80737286454669,0.663456664977192,659.2585288111957,1701.748505163979,0.906630719567432,0.580102599582842,4997.702314580166,2.043674686080121,3.0,6577.100354789661,5505.08261530664,0.043081601621896,4726.765838824126,4761.258489609731,4263.810440952863,5.333124846174702,0.127721422674296,0.05149340636958,-0.003635388105218,-0.05511847637776,1.108577856422671,0.814099226276991,0.219178082191781,0.023972602739726,0.756849315068493,1.099093173674447,-0.005452794806392,200.32107543625028,230.43213061312593,0.250025912354149,199.164811927097,156.1711166998948,220.05171968468318,16.31795832891134,0.216216838950606
19.6352551904,93.0,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,12.0,2.4,3698.678913126674,0.0,2.025258323765787,2.073309449373605,0.567026406429392,760.5495413215507,0.0,1.0,0.5782855248241,5125.202831993877,1.361111111111111,0.0,5080.502870264064,3741.732491389208,0.0,9360.074626865671,2273.801377726751,2959.9207807118255,0.0,0.050896742007728,0.519493200640106,0.609106822725431,0.131095878270651,3.162272006690222,0.797203571620902,0.0,0.0,1.0,1.56205088762451,0.913620968542932,88.97165883990601,71.18874727652485,0.0,80.89033943601216,60.67162876636618,55.75101115625692,0.0,0.007194625066159
19.634419919,97.0,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,12.0,1.181818181818182,4033.307165109034,6.838702884528407,1.429906542056075,2.01209554152314,0.748785046728972,779.8473719426064,1140.630893131843,0.936479874526266,0.602202120388015,5163.745794392523,1.888888888888889,1.0,5294.373831775701,4178.407476635514,0.020934579439252,8685.689719626169,2627.1401869158876,3958.6672897196263,2.65200615285713,0.143064648450535,0.373844429290684,0.535546771476402,0.202181297817709,2.194094396915416,0.918709546388234,0.0,0.0,1.0,0.71819700677494,0.803284653955887,99.13332129002755,93.60826277626,0.143165368797604,170.19318596386054,65.55264385938479,68.242126463533893,8.896957676646378,0.043094350968099
19.6348496942,104.0,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,12.0,2.048611111111111,4013.4460547504023,71.93052203341777,2.555555555555555,1.988234459026262,0.545507246376812,824.7929913431361,12.857639559590496,0.999227398175725,0.571816412781099,5330.729468599034,1.0,1.0,5315.777777777777,4279.676328502415,1.93236714976e-4,9267.62801932367,2444.8840579710145,3955.75845410628,0.031100979864885,0.047185657744966,0.401702663375274,0.582517560394145,0.236050426700822,2.342819493870612,0.758502772989545,0.0,0.0,1.0,1.49066453766674,0.873739041204227,94.20800754139438,86.05557450525794,0.013899617784235,208.32752870163048,87.40720193591646,89.37234756420463,0.801969524901032,0.02092946916647
19.6355677575,106.0,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,12.0,2.642857142857143,4420.333333333333,0.0,2.88903996165819,1.452554415339025,0.141063829787234,740.4517088903929,0.0,1.0,0.573494939490209,5278.768617021276,2.187479524109723,0.0,5602.521276595745,4620.648936170212,0.0,8177.827127659574,3037.8297872340427,4321.327127659574,0.0,0.045444675340575,0.308540875744359,0.458287675829311,0.174408203992493,1.892434172667848,0.569560562676188,0.0,0.0,1.0,1.643198821733312,0.687400869044584,105.66637367692167,84.15034764936208,0.0,103.75538647002685,66.40604391429028,71.11324326762241,0.0,0.016326712662779
19.6346979292,133.0,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,12.0,2.350993377483444,4309.465879265092,5.309934302686859,2.610934514131326,1.611757005637538,0.243700787401575,604.1398458574173,2155.830842312594,0.883449703070087,0.574968371156429,4885.586942257218,1.914414782177019,1.0,5432.816929133858,4463.062992125984,0.034251968503937,7161.180118110236,3032.517716535433,4241.882874015748,4.828021846981499,0.155636707218144,0.256009919975915,0.405021069738067,0.166249458278552,1.688207885695538,0.602480197306548,0.0,0.0,1.0,1.589063805189414,0.607501806695854,108.2076231760383,113.33467254329051,0.181875702493605,164.88046265981419,121.54766838962158,131.17556637454652,11.58083927512672,0.069527197969175
19.6347359992,136.0,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,12.0,1.564885496183206,3691.8282828282827,0.0,1.612121212121212,2.044045929934617,0.566545454545454,763.0041375374511,0.0,1.0,0.578764340863626,4903.783838383838,1.357142857142857,0.0,5121.309090909091,3738.2060606060604,0.0,8757.175757575758,2215.969696969697,2890.430303030303,0.0,0.067465394924536,0.503686802594368,0.596110394025304,0.132081428415441,3.029713516494346,0.76927520145731,0.0,0.0,1.0,1.365299237889064,0.894124849536203,82.70133326264458,82.33482984554,0.0,91.74305036952065,56.365605700360376,65.3142913724374,0.0,0.018959549093891
19.634380775,163.0,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,12.0,1.755725190839695,4030.0316301703165,0.0,2.340659083620315,1.593944220979313,0.457518248175183,1198.168798832317,0.0,1.0,0.578712095129429,5481.564476885645,2.544258197947718,0.0,5281.335766423358,4364.7226277372265,0.0,9635.934306569343,2444.036496350365,3976.810218978102,0.0,0.04264809196339,0.415722492769228,0.595357217956248,0.238718317160345,2.423030966020157,0.668728982274256,0.0,0.0,1.0,1.558792244759128,0.892998864971485,103.0679938123289,99.77373891478253,0.0,186.8747659961394,81.21787700504737,90.92592708056931,0.0,0.006856614803054
19.6356818708,166.0,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,12.0,2.734806629834254,3706.826576576577,0.0,2.982907934045293,1.74067225837894,0.309189189189189,745.5190271627783,0.0,1.0,0.575164958991599,5085.0777027027025,1.827523436796011,0.0,5081.476351351352,3823.5236486486488,0.0,9216.22972972973,2215.4797297297296,3049.527027027027,0.0,0.047024085188184,0.502757622297189,0.612397474308363,0.158413338449554,3.022183324839918,0.656793232338724,0.0,0.0,1.0,1.742226292630643,0.918556035667362,97.2873952708082,107.16657648920354,0.0,185.10795223601232,98.29859680790948,89.68951470811042,0.0,0.017446845507294
19.6348181261,169.0,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,12.0,2.276119402985075,3958.3274509803923,0.0,3.411764705882353,1.450633707070885,0.0,444.34219813170307,0.0,1.0,0.581196357534123,4850.143137254902,1.45,0.0,5229.629411764706,4086.329411764706,0.0,7905.076470588236,2559.0235294117647,3792.823529411765,0.0,0.127852953532163,0.351537706868452,0.510894672372824,0.1942427121708,2.084219423679395,0.500077376960947,0.0,0.0,1.0,2.278027434464219,0.766305392634664,105.728555131728,114.114482066483,0.0,176.6204639046401,105.19138596700954,102.27551906154439,0.0,0.040718996691832
